crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
4,6,6,6,10,6,2,12,1,0,0,1,0,0
1,1,1,1,5,1,1,1,0,0,0,1,0,0
4,3,3,6,14,15,14,3,0,1,1,1,1,0
1,7,7,7,7,7,7,7,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
4,12,17,9,9,12,9,12,0,0,0,0,0,1
4,5,12,5,4,6,12,12,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,5,5,1,1,0,0,1,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,2,1,2,1,0,1,0,1,0,0
4,17,17,6,6,13,15,13,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
5,16,7,9,7,16,16,17,1,0,0,0,0,0
10,1,9,17,9,9,9,9,1,1,1,1,1,1
6,4,4,4,4,4,4,19,1,0,0,0,0,0
1,1,1,12,12,1,1,1,0,0,0,1,1,0
4,7,9,7,3,9,7,5,0,0,1,0,0,1
8,2,3,2,2,3,2,2,0,0,1,0,0,1
1,1,5,5,5,1,1,1,0,0,0,1,1,1
0,2,2,2,2,2,2,2,0,0,0,0,0,0
1,3,1,3,3,1,3,3,0,0,0,0,0,0
11,7,7,9,9,1,15,12,1,1,0,1,1,0
3,2,18,4,4,2,4,8,1,1,0,1,1,1
8,19,0,19,1,16,1,0,0,0,0,0,0,0
1,9,9,9,9,1,9,9,0,0,0,0,0,0
2,10,2,2,19,10,2,10,0,0,0,1,0,0
5,12,19,12,19,12,19,19,1,1,0,1,0,1
3,3,1,1,3,1,1,1,0,0,0,0,0,0
12,3,3,3,3,3,3,3,0,0,0,0,0,0
2,1,1,1,1,1,14,1,0,1,0,0,0,0
0,18,0,18,18,0,18,0,0,0,0,0,0,0
1,4,4,4,1,4,4,5,1,0,0,0,0,0
2,7,7,7,7,7,10,7,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0
5,1,18,18,15,18,1,18,1,0,1,1,1,1
2,1,3,2,1,2,2,3,1,1,1,0,1,1
0,1,0,1,1,0,1,0,0,0,0,0,0,0
3,6,1,1,3,1,6,6,0,0,0,0,0,0
10,3,3,19,3,2,2,2,0,0,0,0,1,0
2,18,18,18,2,18,18,18,0,0,0,0,0,0
14,12,12,12,12,12,12,12,0,0,0,0,0,0
4,13,13,13,13,13,13,13,0,0,0,0,0,0
2,2,2,2,4,1,1,1,0,0,0,1,0,0
1,2,1,1,2,1,1,1,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,2,2,2,3,2,14,2,0,1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,2,2,2,2,1,0,0,0,0,0,0
2,5,5,5,10,2,5,5,0,0,0,1,0,0
4,15,15,15,15,15,15,15,0,0,0,0,0,0
1,10,10,10,10,10,10,10,0,0,0,0,0,0
1,2,1,1,2,1,1,1,0,0,0,0,0,0
14,10,11,11,18,11,18,11,1,1,1,1,1,1
0,1,1,1,1,0,1,1,0,0,0,0,0,0
0,0,6,6,18,0,6,6,1,1,0,1,1,1
0,0,0,0,5,0,0,0,0,0,0,1,0,0
0,2,2,2,2,2,2,2,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,4,1,1,4,1,1,1,0,0,0,0,0,0
12,4,4,6,4,10,4,17,1,0,1,0,1,0
2,0,13,0,13,13,0,13,1,0,1,1,0,1
14,10,10,19,18,8,18,18,1,1,0,1,1,0
9,7,7,7,7,7,4,7,0,0,0,0,0,0
12,5,8,3,3,3,8,5,0,1,0,0,0,1
3,9,9,9,9,9,9,9,0,0,0,0,0,0
0,0,7,7,7,7,7,7,1,1,1,1,1,1
5,3,3,3,2,3,3,3,0,0,0,0,0,0
2,5,2,2,5,2,2,2,0,0,0,0,0,0
2,10,2,2,10,10,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,1,0,0
18,12,12,14,12,12,12,12,0,0,0,0,1,0
2,14,1,1,1,0,14,2,0,0,0,0,0,0
5,6,6,9,6,9,9,6,0,1,1,0,1,0
16,10,8,9,18,10,6,6,0,0,0,1,0,0
1,7,7,7,7,7,1,7,0,0,0,0,0,0
1,5,1,1,5,1,1,1,0,0,0,0,0,0
2,2,2,2,1,3,1,1,0,0,1,0,0,0
4,12,1,2,12,12,1,1,0,0,0,0,0,0
18,10,10,10,10,10,10,11,1,0,0,0,0,0
7,13,13,8,14,14,8,8,0,0,1,1,0,0
1,4,4,1,4,4,4,4,0,0,0,0,0,0
7,1,8,9,1,2,2,8,1,1,1,0,1,1
5,15,15,17,15,15,15,15,0,0,0,0,1,0
6,14,4,15,15,18,18,14,0,1,1,1,1,0
8,10,2,2,1,2,1,1,0,0,0,0,0,0
2,4,4,4,4,4,4,4,0,0,0,0,0,0
1,3,3,3,1,3,3,3,0,0,0,0,0,0
10,12,7,5,7,18,12,7,0,0,1,0,0,0
0,2,2,2,2,2,2,2,0,0,0,0,0,0
2,2,3,3,2,3,2,3,1,0,1,0,1,1
6,13,8,14,14,14,5,4,0,0,1,1,1,0
13,12,7,12,12,6,12,6,0,0,0,0,0,0
1,1,1,4,4,1,4,4,1,1,0,1,1,0
10,15,6,7,6,6,15,17,1,0,0,0,0,0
3,17,17,17,17,17,17,5,0,0,0,0,0,0
2,4,4,4,4,4,4,4,0,0,0,0,0,0
2,1,1,1,5,1,1,5,1,0,0,1,0,0
0,0,1,1,19,0,0,1,1,0,0,1,1,1
2,10,11,11,10,11,2,2,0,0,1,0,1,1
1,1,1,1,5,1,1,1,0,0,0,1,0,0
2,3,2,2,4,2,2,2,0,0,0,1,0,0
1,3,1,1,3,1,1,1,0,0,0,0,0,0
9,17,17,17,17,10,17,17,0,0,0,0,0,0
8,10,10,10,10,17,10,10,0,0,1,0,0,0
3,1,18,1,1,18,0,1,0,0,1,0,0,1
0,11,0,11,8,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
14,4,7,7,4,19,4,19,1,0,1,0,1,1
3,17,17,17,18,18,18,18,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,18,18,18,18,0,0,0,0,1,1,1,1
2,1,1,1,2,1,18,0,0,1,0,1,0,0
4,10,12,12,10,9,10,9,0,0,0,0,1,1
0,7,0,0,3,0,0,7,0,0,0,0,0,0
2,9,2,2,9,2,2,2,0,0,0,0,0,0
12,5,4,4,4,4,19,9,1,1,0,0,0,0
10,9,9,7,4,9,9,9,0,0,0,0,0,0
1,1,1,1,1,1,5,5,1,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,11,11,11,11,11,11,1,0,0,0,0,0,0
5,6,18,9,9,18,6,9,1,0,1,1,1,1
10,14,14,14,10,12,9,12,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,0,13,0,0,16,1,0,0,0,0,0
3,19,19,0,0,5,0,19,0,0,0,0,0,0
1,11,1,11,11,1,11,1,0,0,0,0,0,0
5,2,2,2,2,2,2,3,1,0,0,0,0,0
6,8,2,10,10,10,10,8,0,1,1,1,1,0
1,8,1,0,8,1,8,1,0,0,0,0,0,0
4,19,19,19,19,19,19,19,0,0,0,0,0,0
4,2,15,15,15,15,2,2,0,0,1,1,1,1
0,1,1,1,1,1,1,1,0,0,0,0,0,0
2,7,13,7,7,12,7,14,1,0,1,0,0,1
1,9,9,9,9,9,9,1,0,0,0,0,0,0
1,19,1,19,2,1,1,1,0,0,0,0,0,0
1,4,4,3,3,3,3,4,0,0,0,0,0,0
1,5,5,5,5,5,5,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17,17,17,17,17,17,17,0,0,0,0,0,0
9,2,2,2,2,2,2,2,0,0,0,0,0,0
3,3,0,0,3,0,0,0,0,0,0,0,0,0
1,1,1,2,2,1,2,2,1,1,0,1,1,0
0,1,1,1,1,0,0,1,0,0,0,0,0,0
1,7,1,1,3,3,7,1,0,0,0,0,0,0
0,1,1,1,5,1,1,1,0,0,0,1,0,0
1,15,1,15,15,1,15,1,0,0,0,0,0,0
12,9,8,8,8,7,8,8,0,0,0,0,0,0
1,2,1,1,2,0,1,0,0,0,0,0,0,0
1,4,0,4,1,4,4,4,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
5,12,17,7,4,7,4,7,0,0,0,0,0,1
0,1,1,1,1,1,1,1,0,0,0,0,0,0
14,17,12,17,17,17,17,17,0,0,0,0,0,0
0,0,1,0,1,0,0,1,1,0,0,1,0,1
1,5,5,1,5,1,5,1,0,0,0,0,0,0
1,7,1,7,7,1,7,7,0,0,0,0,0,0
3,7,7,7,7,7,6,14,1,0,0,0,0,0
2,15,14,14,15,14,14,15,0,0,0,0,0,0
1,8,8,8,8,8,8,1,0,0,0,0,0,0
2,3,2,2,3,2,2,2,0,0,0,0,0,0
0,3,0,0,3,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,7,0,7,0,0,1,0,1,0,0
17,13,10,13,13,13,13,13,0,0,0,0,0,0
2,3,1,0,3,1,2,17,1,0,0,0,0,0
0,0,0,0,0,0,0,7,1,0,0,0,0,0
3,3,4,4,3,4,4,4,1,1,1,0,1,1
12,14,14,3,3,14,14,14,0,0,0,0,0,0
1,19,1,1,19,1,1,1,0,0,0,0,0,0
14,6,16,5,17,5,17,6,0,1,0,1,0,1
12,13,10,11,11,8,11,7,0,0,0,0,0,0
5,6,2,2,2,2,10,6,0,1,0,0,0,0
0,3,0,3,3,0,0,0,0,0,0,0,0,0
1,2,2,0,2,1,2,2,0,0,0,0,0,0
1,2,2,2,2,1,2,1,0,0,0,0,0,0
1,6,6,6,6,6,6,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,3,2,2,2,0,0,0,0,0,0,0,0,0
6,19,3,8,19,8,5,3,0,0,0,0,0,0
8,2,7,2,18,18,2,18,1,0,1,1,0,1
3,2,2,2,2,2,2,2,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
4,2,7,7,2,7,7,7,1,1,1,0,1,1
1,1,1,1,6,1,1,1,0,0,0,1,0,0
10,15,18,16,8,3,3,4,0,0,0,0,1,1
6,17,17,17,17,17,17,15,0,0,0,0,0,0
1,19,0,13,19,7,18,1,0,0,0,0,0,0
15,2,2,5,5,2,5,18,1,1,0,1,1,0
4,10,6,6,6,6,10,10,0,0,0,0,0,0
1,5,5,5,5,5,5,5,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
10,15,18,4,16,3,3,1,0,0,0,1,0,1
9,8,8,8,8,8,8,8,0,0,0,0,0,0
4,5,1,1,1,1,1,5,0,0,0,0,0,0
7,2,2,3,5,3,3,9,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
8,2,7,2,7,2,17,1,0,1,0,1,0,1
2,2,3,3,2,3,3,0,0,1,1,0,1,1
1,1,1,1,6,1,1,1,0,0,0,1,0,0
4,15,15,15,15,15,15,15,0,0,0,0,0,0
13,6,7,6,15,6,6,3,0,0,0,1,0,1
1,5,5,13,1,13,13,13,1,1,1,0,1,0
4,13,2,4,13,5,13,11,0,0,0,0,0,0
3,0,4,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,17,0,0,0,0,0,0,1,0,0
0,0,0,3,3,0,0,3,1,0,0,1,1,0
0,0,1,1,1,1,1,0,0,1,1,1,1,1
1,16,1,16,16,16,16,1,0,0,0,0,0,0
2,0,1,0,2,2,2,0,0,1,1,1,0,1
1,4,6,1,0,1,6,1,0,1,0,0,0,1
2,2,2,2,4,1,2,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,0,0,0,0,0
5,1,1,1,4,1,1,1,0,0,0,1,0,0
8,5,15,14,15,15,15,3,0,1,1,1,1,1
1,1,1,1,6,1,1,0,0,0,0,1,0,0
18,16,16,15,8,8,8,15,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
3,3,10,10,3,10,3,8,1,0,1,0,1,1
2,2,3,3,2,3,3,3,1,1,1,0,1,1
0,3,0,0,3,0,0,0,0,0,0,0,0,0
2,19,2,2,2,19,2,19,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,4,1,4,4,4,4,1,0,0,0,0,0,0
6,7,17,17,2,17,2,12,1,0,1,0,1,1
1,1,1,1,7,5,1,5,1,0,1,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
2,2,2,2,1,5,2,2,0,0,1,0,0,0
13,8,8,8,8,8,4,8,0,0,0,0,0,0
5,3,3,6,3,3,3,3,0,0,0,0,1,0
6,8,8,16,2,16,16,8,0,1,1,0,1,0
2,8,2,2,8,2,2,2,0,0,0,0,0,0
1,1,1,0,11,1,11,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
