crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
17,18,4,7,4,4,7,7,1,1,1,1,1,1
9,10,1,1,1,1,1,1,1,1,1,1,1,1
12,11,7,19,11,1,10,11,1,0,0,1,1,0
5,10,8,8,8,8,8,8,1,1,1,1,1,1
13,14,7,8,7,7,14,14,1,1,1,1,0,0
8,1,10,16,1,1,10,10,0,0,0,0,0,0
10,13,15,15,15,15,13,15,0,0,0,0,0,0
1,10,4,1,1,1,1,1,1,1,1,1,1,1
12,6,10,10,10,18,18,18,0,0,0,0,0,0
3,1,5,5,5,5,7,5,0,0,0,0,0,0
5,3,2,3,2,2,3,2,1,0,1,1,0,1
2,9,0,1,1,0,1,1,1,1,1,1,1,1
8,14,12,14,14,14,17,17,1,0,0,0,0,0
12,4,15,15,6,15,15,15,0,0,0,0,0,0
3,7,6,9,6,6,6,4,1,0,1,1,1,1
10,7,6,6,6,6,6,6,1,1,1,1,1,1
0,5,0,0,5,14,0,0,1,1,0,0,1,1
9,5,17,5,17,18,5,5,0,0,0,0,0,0
17,19,11,19,11,11,11,11,1,0,1,1,1,1
3,1,4,19,4,5,4,19,0,0,0,0,0,0
1,8,0,0,0,1,0,1,1,1,1,1,1,1
2,1,3,0,3,3,3,3,0,1,0,0,0,0
2,1,2,2,2,2,12,12,0,0,0,0,0,0
18,19,16,16,14,14,15,14,1,1,1,1,1,1
3,11,1,1,1,2,1,1,1,1,1,1,1,1
17,18,9,9,9,9,14,9,1,1,1,1,1,1
0,1,0,1,1,2,1,1,1,0,0,0,0,0
2,1,3,2,3,2,3,3,0,0,0,0,0,0
0,1,0,10,1,8,1,1,1,0,0,0,0,0
4,5,5,5,9,1,5,5,0,0,0,1,0,0
1,4,1,4,4,4,1,1,1,0,0,0,1,1
3,9,9,15,6,5,6,15,0,0,1,1,1,0
10,8,8,1,1,1,1,1,0,1,1,1,1,1
1,2,1,2,1,1,1,1,1,0,1,1,1,1
10,14,9,9,12,14,12,12,1,1,1,0,1,1
2,1,1,1,5,2,1,1,0,0,0,0,0,0
1,9,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,3,1,1,1,1,0,0,0,0,0,0
11,17,11,15,5,3,3,10,1,1,1,1,1,1
7,8,4,4,4,8,10,4,1,1,1,0,0,1
2,8,1,2,1,1,1,1,1,1,1,1,1,1
12,1,1,1,0,3,15,1,0,0,1,0,0,0
5,4,4,9,1,4,1,1,0,0,1,0,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,1,1,1,1,1,1
10,16,13,13,13,15,13,15,1,1,1,1,1,1
2,3,14,2,14,3,14,14,0,1,0,0,0,0
3,19,3,19,14,5,5,5,1,0,1,1,1,1
1,17,17,0,0,1,0,0,0,1,1,1,1,1
2,3,7,7,7,7,7,7,0,0,0,0,0,0
6,3,13,13,13,15,13,13,0,0,0,0,0,0
3,1,0,5,5,1,5,5,1,0,0,0,0,0
1,9,1,1,1,1,1,1,1,1,1,1,1,1
1,3,3,1,0,1,0,0,0,1,1,1,1,1
2,0,0,11,11,2,11,0,0,0,0,0,0,0
2,1,4,4,4,4,4,4,0,0,0,0,0,0
1,9,5,9,1,5,1,5,1,0,1,1,1,1
5,15,1,9,3,7,14,15,1,1,1,1,1,0
2,1,9,0,12,9,12,2,0,1,0,0,0,0
6,7,2,1,1,2,15,17,1,1,1,1,0,0
1,2,1,1,1,1,1,1,1,1,1,1,1,1
7,14,14,2,2,2,2,2,0,1,1,1,1,1
1,5,0,5,5,4,1,1,1,0,0,1,1,1
4,1,1,3,3,2,1,3,0,0,0,0,0,0
1,2,1,2,1,2,1,1,1,0,1,0,1,1
2,6,18,2,18,18,18,18,0,1,0,0,0,0
0,2,0,2,0,14,0,2,1,0,1,0,1,0
7,9,5,5,8,9,8,1,1,1,1,0,1,1
1,3,0,0,0,0,0,0,1,1,1,1,1,1
7,16,4,4,9,4,4,9,1,1,1,1,1,1
1,7,1,7,1,7,1,6,1,0,1,0,1,1
4,7,9,9,9,9,9,9,0,0,0,0,0,0
3,15,15,2,2,2,2,2,0,1,1,1,1,1
0,7,0,7,7,0,0,0,1,0,0,1,1,1
9,11,7,6,3,7,7,5,1,1,1,1,1,1
7,1,2,4,2,2,1,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1,1,1,1,1,1,1
