crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
14,11,16,12,16,16,11,16,0,0,0,0,0,0
2,17,1,2,2,2,2,1,1,1,1,1,1,1
2,7,2,11,12,2,11,11,1,0,0,1,0,0
3,7,3,3,3,3,3,3,1,1,1,1,1,1
3,17,17,17,18,1,1,1,0,0,0,1,1,1
3,4,2,6,2,6,3,2,1,0,1,0,1,1
2,7,11,11,1,1,2,2,0,0,1,1,1,1
3,10,1,10,1,1,10,1,1,0,1,1,0,1
17,14,13,14,14,14,13,13,1,0,0,0,1,1
18,11,11,11,11,10,10,11,0,0,0,1,1,0
4,2,12,4,4,4,4,17,0,0,0,0,0,0
4,19,8,3,8,3,7,3,1,1,1,1,1,1
1,6,6,6,6,6,6,6,0,0,0,0,0,0
3,1,1,8,8,8,8,8,0,0,0,0,0,0
3,10,10,10,10,17,17,10,0,0,0,0,0,0
10,5,11,3,11,3,11,3,0,1,0,1,0,1
9,10,8,13,10,14,10,10,1,0,0,0,0,0
11,8,15,15,18,17,18,15,0,0,0,0,0,0
12,18,1,19,19,19,19,14,1,0,0,0,0,1
13,7,16,16,4,16,16,7,0,0,1,0,0,0
1,2,9,2,9,2,2,9,0,0,0,0,0,0
18,9,19,14,14,19,14,19,0,0,0,0,0,0
3,6,2,2,2,9,9,9,1,1,1,0,0,0
8,15,15,5,15,5,5,5,0,1,0,1,1,1
2,14,12,12,0,12,12,12,1,1,1,1,1,1
2,6,6,6,1,6,6,2,0,0,1,0,0,1
5,3,3,3,3,3,14,3,0,0,0,0,0,0
5,2,4,18,2,5,4,4,0,0,0,0,0,0
7,6,9,3,5,9,5,5,0,1,1,0,1,1
3,6,2,6,2,6,6,6,1,0,1,0,0,0
6,10,5,5,3,5,3,5,1,1,1,1,1,1
5,6,1,2,2,1,1,1,1,1,1,1,1,1
13,6,6,6,6,6,6,14,0,0,0,0,0,0
3,4,4,4,4,1,4,4,0,0,0,1,0,0
6,15,2,2,15,2,2,2,1,1,0,1,1,1
10,3,15,12,10,15,17,11,0,0,0,0,0,0
10,16,5,5,5,5,5,5,1,1,1,1,1,1
0,2,0,1,1,16,16,1,1,1,1,0,0,1
4,6,2,2,7,7,3,9,1,1,0,0,1,0
2,8,7,7,7,2,7,7,1,1,1,1,1,1
7,2,12,15,12,15,15,15,0,0,0,0,0,0
4,7,14,11,14,3,14,14,0,0,0,1,0,0
6,9,6,12,12,6,6,6,1,0,0,1,1,1
4,12,9,12,9,12,9,9,1,0,1,0,1,1
3,2,1,6,0,7,4,6,1,0,1,0,0,0
7,17,17,2,16,6,13,15,0,1,1,1,1,1
5,7,0,2,0,0,2,0,1,1,1,1,1,1
9,18,15,17,6,6,19,17,1,1,1,1,0,1
1,5,1,1,5,5,7,1,1,1,0,0,0,1
10,14,9,5,5,5,5,5,1,1,1,1,1,1
2,3,2,2,2,2,2,2,1,1,1,1,1,1
17,16,1,1,1,1,1,1,1,1,1,1,1,1
4,1,2,3,1,15,10,3,0,0,0,0,0,0
8,17,5,17,5,4,17,5,1,0,1,1,0,1
6,8,5,0,12,8,0,2,1,1,0,0,1,1
19,19,17,17,17,17,17,17,1,1,1,1,1,1
7,3,15,15,8,16,16,15,0,0,0,0,0,0
