10,12
12,15
1,2
5,17
4,0
1,1
9,13
2,7
6,2
1,0
1,0
5,1
17,18
7,4
2,3
6,19
2,3
6,11
8,13
4,3
3,7
8,9
3,4
6,10
6,12
12,15
4,3
1,17
1,15
0,0
2,1
15,12
4,3
10,11
1,1
19,16
14,5
1,1
1,4
1,1
10,3
7,2
6,3
2,1
5,7
0,1
11,2
5,4
2,2
9,14
2,1
13,15
3,1
5,4
4,7
5,8
17,7
4,5
2,1
19,10
0,1
3,4
13,11
3,6
3,2
10,1
3,5
15,13
14,4
8,7
10,4
3,0
7,13
2,1
8,14
0,0
0,8
3,3
2,1
3,14
11,8
15,18
0,0
0,1
11,16
10,12
1,1
4,7
2,3
1,1
13,12
6,16
2,3
2,8
4,3
1,0
4,18
13,19
1,0
16,18
2,2
8,11
5,2
2,2
0,0
5,9
5,11
1,4
16,3
4,5
1,1
17,4
9,13
12,7
5,10
13,7
8,12
10,15
1,1
12,16
3,5
5,2
2,1
8,13
12,6
3,7
10,6
0,0
9,17
17,11
3,19
1,0
2,3
2,12
18,14
3,1
17,9
0,0
2,3
0,0
4,5
1,1
3,15
10,1
1,1
10,9
2,1
1,1
0,0
11,17
7,10
2,1
12,0
5,9
1,1
0,0
10,15
2,14
3,3
1,17
2,7
6,13
3,2
1,1
1,3
2,11
2,4
1,9
5,19
2,12
6,1
1,1
7,14
1,0
4,1
1,1
2,18
0,0
7,9
1,0
7,9
1,1
4,9
3,2
0,0
9,11
7,10
1,1
2,10
2,7
10,14
4,9
3,15
1,2
2,7
1,1
10,4
2,3
3,1
3,18
4,1
0,0
11,3
3,5
18,14
1,1
1,3
15,5
18,10
10,7
0,0
4,7
7,9
3,7
1,0
8,4
0,0
11,3
1,5
8,0
11,10
1,0
9,13
8,13
8,7
4,0
3,9
2,3
7,7
7,2
1,2
9,8
19,18
1,0
0,0
6,14
12,11
0,0
6,2
1,0
2,2
1,0
7,12
5,10
1,1
15,8
2,0
0,0
1,0
0,0
1,1
2,2
1,0
2,0
2,3
2,14
1,1
6,17
5,12
6,9
14,16
0,0
8,14
1,0
9,0
7,4
0,0
1,2
1,6
1,0
1,1
0,1
3,1
3,2
2,2
2,1
6,1
2,1
3,2
0,1
6,3
2,3
2,2
1,1
1,3
1,1
7,2
1,1
4,5
4,5
1,4
5,15
3,8
3,1
1,1
6,4
1,2
3,2
9,3
1,0
2,11
5,2
4,11
16,8
5,15
3,7
1,10
1,1
16,19
9,6
1,2
6,5
4,5
1,0
4,11
0,0
3,4
0,0
2,8
0,1
13,10
0,1
5,2
13,5
1,1
8,4
1,12
19,11
3,3
4,6
13,1
5,15
15,7
4,10
5,7
1,5
1,0
9,13
11,3
1,1
5,14
2,1
8,3
5,8
0,1
1,1
5,8
17,13
13,12
3,7
9,8
4,16
9,7
1,1
1,0
4,2
3,2
1,2
1,1
0,2
1,1
0,0
5,2
1,1
6,1
18,6
2,2
3,2
1,1
4,11
3,0
19,11
3,4
2,13
3,13
2,5
0,0
8,9
8,11
12,13
2,9
4,19
13,14
4,0
2,4
10,2
7,9
2,3
4,9
15,19
8,19
1,1
2,0
9,7
0,0
1,1
5,7
1,1
8,3
2,10
11,4
3,5
11,2
5,12
3,8
3,8
1,3
2,9
4,3
1,2
3,7
1,1
11,17
15,9
3,11
1,1
19,12
5,10
5,15
2,1
8,9
2,2
2,1
3,6
15,19
4,11
7,13
4,7
2,6
4,13
10,17
1,6
1,16
13,1
2,2
1,13
0,0
2,1
2,4
0,0
5,3
3,9
3,1
6,3
13,11
10,11
17,8
9,12
2,11
4,1
2,14
4,15
4,7
7,19
5,12
18,10
1,5
2,12
9,5
3,0
2,1
7,14
15,16
2,1
6,14
4,5
1,1
0,1
3,14
3,15
1,1
2,3
6,19
6,8
1,1
1,0
7,6
15,16
1,0
8,19
0,0
4,10
3,7
14,19
5,4
0,0
16,13
1,1
0,0
10,15
14,4
1,1
7,1
3,9
5,15
3,13
9,18
1,1
16,7
6,9
12,18
6,0
2,1
3,3
3,14
3,8
2,3
0,0
10,4
7,5
4,2
5,4
0,0
2,7
13,15
2,0
5,17
5,12
19,17
2,3
8,15
9,12
1,2
4,8
15,13
2,6
2,2
10,0
5,3
7,12
1,2
5,7
1,1
3,6
1,1
11,16
12,9
16,11
1,1
0,1
1,5
17,8
0,1
2,10
5,8
2,11
1,1
3,10
9,5
5,3
7,6
1,1
15,8
5,0
2,2
10,7
14,8
11,12
1,4
1,3
2,4
3,0
4,8
15,10
4,2
11,12
2,7
6,19
2,0
1,19
14,19
5,7
2,13
6,3
13,9
1,8
