crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
9,15,10,10,14,17,10,14,1,1,1,0,1,1
18,16,17,17,17,17,17,17,0,0,0,0,0,0
9,3,14,15,5,15,10,12,0,0,0,0,0,0
8,13,2,17,17,17,17,17,1,0,0,0,0,0
3,8,8,3,3,7,8,1,0,1,1,1,0,1
5,10,14,17,14,14,14,14,0,0,0,0,0,0
3,10,10,10,10,10,10,1,0,0,0,0,0,1
4,10,4,4,4,4,4,4,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,4,4,4,4,4,4,4,0,0,0,0,0,0
4,10,12,6,4,6,5,10,0,1,1,1,1,0
15,17,16,16,16,16,16,16,1,1,1,1,1,1
14,9,12,12,12,5,5,12,0,0,0,1,1,0
2,17,2,2,2,2,2,2,1,1,1,1,1,1
6,5,1,5,5,1,5,5,1,0,0,1,0,0
1,4,4,1,1,1,1,1,0,1,1,1,1,1
5,8,0,12,12,12,12,0,1,0,0,0,0,1
3,6,3,3,3,3,3,3,1,1,1,1,1,1
3,10,3,3,3,3,3,3,1,1,1,1,1,1
6,3,3,10,3,10,3,10,0,0,0,0,0,0
2,13,2,4,2,4,13,2,1,1,1,1,0,1
5,15,3,4,4,2,2,2,1,1,1,1,1,1
16,18,4,4,4,4,18,18,1,1,1,1,0,0
1,6,10,6,6,10,10,10,0,0,0,0,0,0
4,9,10,10,10,10,10,2,0,0,0,0,0,1
5,7,7,11,3,4,7,7,0,0,1,1,0,0
5,8,1,1,6,6,6,6,1,1,1,1,1,1
9,13,16,16,16,16,16,16,0,0,0,0,0,0
19,19,7,7,7,7,7,7,1,1,1,1,1,1
2,3,2,1,1,2,2,5,1,1,1,1,1,0
5,3,4,8,2,2,2,2,0,0,1,1,1,1
4,18,2,18,18,18,18,4,1,0,0,0,0,1
1,2,2,2,2,2,2,2,0,0,0,0,0,0
12,5,6,19,19,19,19,6,0,0,0,0,0,0
17,9,4,14,4,4,4,11,1,0,1,1,1,0
1,9,9,9,9,9,1,9,0,0,0,0,1,0
7,9,1,9,3,6,8,6,1,0,1,1,1,1
11,13,16,11,10,16,6,10,0,1,1,0,1,1
